architecture,scenario,method,metric,mean,sample_std
baseline-256x2,permuted,bp_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,permuted,pc,final_average_accuracy,0.9132600000000001,0.004985940232293185
baseline-256x2,permuted,pc,prequential_accuracy,0.8701041666666667,0.0038514269541733994
baseline-256x2,permuted,pc,mean_adaptation_gain,0.8410333333333333,0.005163035282983516
baseline-256x2,permuted,pc,average_forgetting,0.049641666666666646,0.006527936759293367
baseline-256x2,permuted,pc,backward_transfer,-0.049641666666666646,0.006527936759293367
baseline-256x2,permuted,pc,update_seconds_per_1000_samples,0.040478446046319345,0.0003753142451665238
baseline-256x2,permuted,pc,peak_accelerator_memory_bytes,127454720.0,0.0
baseline-256x2,permuted,pc_minus_baseline,final_average_accuracy,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,prequential_accuracy,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,mean_adaptation_gain,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,average_forgetting,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,backward_transfer,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
wide-512x2,static,bp,final_test_accuracy,0.9849,0.0012165525060596376
wide-512x2,static,bp,final_train_accuracy,0.9992638888888888,0.0001048588116010005
wide-512x2,static,bp,epoch1_validation_accuracy,0.9592777777777778,0.001302597120854843
wide-512x2,static,bp,epoch1_validation_gain,0.8586111111111111,0.026131389879549764
wide-512x2,static,bp,post_update_curve_mean,0.977963888888889,8.552669065739177e-05
wide-512x2,static,bp,update_seconds_per_1000_samples,0.02067690896350678,0.0006239386955435113
wide-512x2,static,bp,peak_accelerator_memory_bytes,129218048.0,0.0
wide-512x2,static,bp_minus_baseline,final_test_accuracy,0.0022333333333333463,0.00040414518843274387
wide-512x2,static,bp_minus_baseline,final_train_accuracy,0.002187499999999972,0.0002194927865177544
wide-512x2,static,bp_minus_baseline,epoch1_validation_accuracy,0.011861111111111064,0.0008347210667398515
wide-512x2,static,bp_minus_baseline,epoch1_validation_gain,0.012694444444444416,0.02179805249540869
wide-512x2,static,bp_minus_baseline,post_update_curve_mean,0.005027777777777705,0.0004622809791715421
wide-512x2,static,bp_minus_baseline,update_seconds_per_1000_samples,-1.4302419139115379e-06,0.0006757769104530449
wide-512x2,static,bp_minus_baseline,peak_accelerator_memory_bytes,7430144.0,0.0
wide-512x2,static,pc,final_test_accuracy,0.9844666666666667,0.0009291573243177183
wide-512x2,static,pc,final_train_accuracy,0.9991875,0.00011599509089232422
wide-512x2,static,pc,epoch1_validation_accuracy,0.959138888888889,0.0011002945733521305
wide-512x2,static,pc,epoch1_validation_gain,0.8584722222222223,0.026310820193586902
wide-512x2,static,pc,post_update_curve_mean,0.9780611111111112,0.00018954135676922337
wide-512x2,static,pc,update_seconds_per_1000_samples,0.036699768515813795,0.0006497872265021542
wide-512x2,static,pc,peak_accelerator_memory_bytes,143203840.0,0.0
wide-512x2,static,pc_minus_baseline,final_test_accuracy,0.0025333333333333505,0.0004725815626252714
wide-512x2,static,pc_minus_baseline,final_train_accuracy,0.0021597222222222343,0.00031549490809998045
wide-512x2,static,pc_minus_baseline,epoch1_validation_accuracy,0.011499999999999991,0.0009391189724654118
wide-512x2,static,pc_minus_baseline,epoch1_validation_gain,0.012333333333333344,0.02171133216650801
wide-512x2,static,pc_minus_baseline,post_update_curve_mean,0.005108333333333419,0.0005350882585559279
wide-512x2,static,pc_minus_baseline,update_seconds_per_1000_samples,0.0007357717281869699,0.0017773082720505403
wide-512x2,static,pc_minus_baseline,peak_accelerator_memory_bytes,15753216.0,0.0
wide-512x2,split,bp,final_average_accuracy,0.18917465120188268,0.0008214349788448815
wide-512x2,split,bp,prequential_accuracy,0.6756597222222221,0.019590261776747185
wide-512x2,split,bp,mean_adaptation_gain,0.9675600489310895,0.002794870747425755
wide-512x2,split,bp,average_forgetting,0.9736909670196644,0.005335465374485498
wide-512x2,split,bp,backward_transfer,-0.9736909670196644,0.005335465374485498
wide-512x2,split,bp,update_seconds_per_1000_samples,0.023285875369952126,0.0018477660297555457
wide-512x2,split,bp,peak_accelerator_memory_bytes,129177088.0,0.0
wide-512x2,split,bp_minus_baseline,final_average_accuracy,0.003765338712388646,0.0024793940584961877
wide-512x2,split,bp_minus_baseline,prequential_accuracy,0.07421527777777777,0.014553560879017161
wide-512x2,split,bp_minus_baseline,mean_adaptation_gain,0.021949164451487386,0.009623454843989247
wide-512x2,split,bp_minus_baseline,average_forgetting,0.0118156765789168,0.0026450157113573386
wide-512x2,split,bp_minus_baseline,backward_transfer,-0.0118156765789168,0.0026450157113573386
wide-512x2,split,bp_minus_baseline,update_seconds_per_1000_samples,0.0021572480585706245,0.001889653552900174
wide-512x2,split,bp_minus_baseline,peak_accelerator_memory_bytes,7633920.0,0.0
wide-512x2,split,pc,final_average_accuracy,0.18856950748024878,0.0006484216346272012
wide-512x2,split,pc,prequential_accuracy,0.6542569444444445,0.010725208277352613
wide-512x2,split,pc,mean_adaptation_gain,0.9652326938465817,0.002942696723480121
wide-512x2,split,pc,average_forgetting,0.9715382028160722,0.0043471570028819125
wide-512x2,split,pc,backward_transfer,-0.9715382028160722,0.0043471570028819125
wide-512x2,split,pc,update_seconds_per_1000_samples,0.04001874857878094,0.0017198839328193642
wide-512x2,split,pc,peak_accelerator_memory_bytes,143207936.0,0.0
wide-512x2,split,pc_minus_baseline,final_average_accuracy,0.005278198016473372,0.0017155623899375487
wide-512x2,split,pc_minus_baseline,prequential_accuracy,0.07913888888888883,0.02240193069453152
wide-512x2,split,pc_minus_baseline,mean_adaptation_gain,0.025745462884840475,0.012581611207309005
wide-512x2,split,pc_minus_baseline,average_forgetting,0.014669975490502233,0.007337609999173809
wide-512x2,split,pc_minus_baseline,backward_transfer,-0.014669975490502233,0.007337609999173809
wide-512x2,split,pc_minus_baseline,update_seconds_per_1000_samples,0.0016297314652594004,0.0017936693166094855
wide-512x2,split,pc_minus_baseline,peak_accelerator_memory_bytes,15753216.0,0.0
wide-512x2,permuted,bp,final_average_accuracy,0.9253399999999999,0.010613180484661467
wide-512x2,permuted,bp,prequential_accuracy,0.8935972222222222,0.0029142321188595595
wide-512x2,permuted,bp,mean_adaptation_gain,0.8633533333333334,0.004010502877861283
wide-512x2,permuted,bp,average_forgetting,0.04708333333333334,0.012911848563754649
wide-512x2,permuted,bp,backward_transfer,-0.04708333333333334,0.012911848563754649
wide-512x2,permuted,bp,update_seconds_per_1000_samples,0.024888020148773966,0.0002014721455709741
wide-512x2,permuted,bp,peak_accelerator_memory_bytes,129181184.0,0.0
wide-512x2,permuted,bp_minus_baseline,final_average_accuracy,0.009899999999999983,0.012604618201278315
wide-512x2,permuted,bp_minus_baseline,prequential_accuracy,0.024049999999999978,0.0032911602986046527
wide-512x2,permuted,bp_minus_baseline,mean_adaptation_gain,0.020413333333333394,0.00628179379901427
wide-512x2,permuted,bp_minus_baseline,average_forgetting,9.166666666670283e-05,0.015715922127999136
