architecture,scenario,method,metric,mean,sample_std
baseline-256x2,permuted,bp_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
baseline-256x2,permuted,pc,final_average_accuracy,0.9159466666666667,0.007610133594972794
baseline-256x2,permuted,pc,prequential_accuracy,0.8683611111111111,0.00124975229027079
baseline-256x2,permuted,pc,mean_adaptation_gain,0.8573,0.005303734533326589
baseline-256x2,permuted,pc,average_forgetting,0.04582500000000001,0.008468065009197789
baseline-256x2,permuted,pc,backward_transfer,-0.04582500000000001,0.008468065009197789
baseline-256x2,permuted,pc,update_seconds_per_1000_samples,0.04073038632701419,0.0009983930910132815
baseline-256x2,permuted,pc,peak_accelerator_memory_bytes,127454720.0,0.0
baseline-256x2,permuted,pc_minus_baseline,final_average_accuracy,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,prequential_accuracy,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,mean_adaptation_gain,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,average_forgetting,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,backward_transfer,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,update_seconds_per_1000_samples,0.0,0.0
baseline-256x2,permuted,pc_minus_baseline,peak_accelerator_memory_bytes,0.0,0.0
wide-512x2,static,bp,final_test_accuracy,0.9850333333333333,0.0008736894948054222
wide-512x2,static,bp,final_train_accuracy,0.9992708333333334,2.0833333333358794e-05
wide-512x2,static,bp,epoch1_validation_accuracy,0.9587222222222223,0.0005292377467571627
wide-512x2,static,bp,epoch1_validation_gain,0.8770555555555556,0.02008356385298779
wide-512x2,static,bp,post_update_curve_mean,0.9780361111111112,0.0005900996463247964
wide-512x2,static,bp,update_seconds_per_1000_samples,0.020724248717413917,0.00023177157510714615
wide-512x2,static,bp,peak_accelerator_memory_bytes,129218048.0,0.0
wide-512x2,static,bp_minus_baseline,final_test_accuracy,0.002466666666666617,0.00011547005383791243
wide-512x2,static,bp_minus_baseline,final_train_accuracy,0.002375000000000016,0.00032342030617214655
wide-512x2,static,bp_minus_baseline,epoch1_validation_accuracy,0.013388888888888895,0.0010715167512214481
wide-512x2,static,bp_minus_baseline,epoch1_validation_gain,0.0036388888888888213,0.0425658259292245
wide-512x2,static,bp_minus_baseline,post_update_curve_mean,0.005802777777777861,0.0009484026531978245
wide-512x2,static,bp_minus_baseline,update_seconds_per_1000_samples,-2.5007187346279037e-05,0.0002161808950596762
wide-512x2,static,bp_minus_baseline,peak_accelerator_memory_bytes,7430144.0,0.0
wide-512x2,static,pc,final_test_accuracy,0.9842666666666666,0.0006806859285553921
wide-512x2,static,pc,final_train_accuracy,0.9992152777777777,4.811252243246352e-05
wide-512x2,static,pc,epoch1_validation_accuracy,0.9587222222222223,0.0009141379262169349
wide-512x2,static,pc,epoch1_validation_gain,0.8770555555555556,0.020121218301234325
